fonte,registros,percentual_372,zona_bradford_aproximada
Building Pathology and Rehabilitiation,1,0.3,Zona 3
Building Maintenance Processes and Practices the Case of A Fast Developing Country,1,0.3,Zona 3
Boletim De Ciencias Geodesicas,1,0.3,Zona 3
Atmosphere,1,0.3,Zona 3
Buildings and Cities,1,0.3,Zona 3
Buildsys 2018 Proceedings of the 5th Conference on Systems for Built Environments,1,0.3,Zona 3
Informes De La Construccion,1,0.3,Zona 3
International Journal of Strategic Property Management,1,0.3,Zona 3
International Journal of Production Research,1,0.3,Zona 3
International Journal of Mechanical Engineering and Technology,1,0.3,Zona 3
International Journal of Lean Six Sigma,1,0.3,Zona 3
International Journal of Innovative Technology and Exploring Engineering,1,0.3,Zona 3
International Journal of Innovation Creativity and Change,1,0.3,Zona 3
International Journal of Healthcare Management,1,0.3,Zona 3
International Journal of Engineering and Technology Uae,1,0.3,Zona 3
International Journal of Design Management and Professional Practice,1,0.3,Zona 3
International Journal of Applied Engineering Research,1,0.3,Zona 3
Intelligent Automation and Soft Computing,1,0.3,Zona 3
International Conference on Construction in the 21st Century,1,0.3,Zona 3
International Journal of Sustainable Development and Planning,1,0.3,Zona 3
International Journal of Supply Chain Management,1,0.3,Zona 3
International Journal of Sustainable Construction Engineering and Technology,1,0.3,Zona 3
International Journal of Sustainable Building Technology and Urban Development,1,0.3,Zona 3
Journal of Advanced Research Design,1,0.3,Zona 3
Iet Energy Systems Integration,1,0.3,Zona 3
Icsdec 2012 Developing the Frontier of Sustainable Design Engineering and Construction Proceedings of the 2012 International Conference on Sustainable Design and Construction,1,0.3,Zona 3
Innovative Infrastructure Solutions,1,0.3,Zona 3
"ICSDEC 2016 - INTEGRATING DATA SCIENCE, CONSTRUCTION AND SUSTAINABILITY",1,0.3,Zona 3
Future of Real Estate II Interdisciplinary Research on Real Estate,1,0.3,Zona 3
Gongcheng Kexue Xuebao Chinese Journal of Engineering,1,0.3,Zona 3
Geothermics,1,0.3,Zona 3
"INNOVATION MANAGEMENT AND SUSTAINABLE ECONOMIC COMPETITIVE ADVANTAGE: FROM REGIONAL DEVELOPMENT TO GLOBAL GROWTH, VOLS I - VI, 2015",1,0.3,Zona 3
INTERNATIONAL CONGRESS ON INTERDISCIPLINARY BUSINESS AND SOCIAL SCIENCES 2012 (ICIBSOS 2012),1,0.3,Zona 3
Ic3k 2020 Proceedings of the 12th International Joint Conference on Knowledge Discovery Knowledge Engineering and Knowledge Management,1,0.3,Zona 3
ISPRS Annals of the Photogrammetry Remote Sensing and Spatial Information Sciences,1,0.3,Zona 3
Iccrem 2018 Sustainable Construction and Prefabrication Proceedings of the International Conference on Construction and Real Estate Management 2018,1,0.3,Zona 3
IEEE ASME Transactions on Mechatronics,1,0.3,Zona 3
IEEE Transactions on Reliability,1,0.3,Zona 3
Habitat International,1,0.3,Zona 3
