necessita_full_text_pontual,total,percentual_dos_137,ids
sim,0,0.0,
nao,137,100.0,REG_00024;REG_00110;REG_00217;REG_00415;REG_00469;REG_00489;REG_00519;REG_00570;REG_00761;REG_00852;REG_00888;REG_01046;REG_01104;REG_01239;REG_01646;REG_01657;REG_02069;REG_02183;REG_02204;REG_02419;REG_02486;REG_02495;REG_02540;REG_02556;REG_02568;REG_02635;REG_02657;REG_03126;REG_03176;REG_03230;REG_03334;REG_03349;REG_03359;REG_03383;REG_03466;REG_03618;REG_03670;REG_03759;REG_03763;REG_03843;REG_03844;REG_04015;REG_04052;REG_04120;REG_04122;REG_04126;REG_04163;REG_04203;REG_04218;REG_04225;REG_04305;REG_04470;REG_04552;REG_04569;REG_04572;REG_04575;REG_04749;REG_04758;REG_04759;REG_04797;REG_04813;REG_04824;REG_04868;REG_04933;REG_04939;REG_04953;REG_05142;REG_05161;REG_05283;REG_05338;REG_05358;REG_05371;REG_05379;REG_05404;REG_05430;REG_05449;REG_05452;REG_05478;REG_05493;REG_05495;REG_05517;REG_05553;REG_05558;REG_05559;REG_05613;REG_05632;REG_05645;REG_05650;REG_05740;REG_05812;REG_05816;REG_05870;REG_05872;REG_05925;REG_05974;REG_06064;REG_06111;REG_06159;REG_06247;REG_06255;REG_06323;REG_06405;REG_06488;REG_06494;REG_06525;REG_06548;REG_06585;REG_06681;REG_06712;REG_06929;REG_06996;REG_07000;REG_07043;REG_07061;REG_07165;REG_07171;REG_07192;REG_07225;REG_07226;REG_07228;REG_07235;REG_07264;REG_07374;REG_07476;REG_07850;REG_07952;REG_08015;REG_08052;REG_08070;REG_08097;REG_08107;REG_08528;REG_09113;REG_09127;REG_09169;REG_09290;REG_09503
