id_unico,titulo,ano,metodo_identificado_leitura,usa_ahp_extracao_automatica,usa_topsis_extracao_automatica,usa_outro_mcdm_extracao_automatica,metodo_mcdm_especifico_extracao_automatica
REG_07043,Net-Zero Energy Consumption Building in China: An Overview of Building-Integrated Photovoltaic Case and Initiative toward Sustainable Future Development,2023,optimization,nao,nao,nao,
REG_07043,Net-Zero Energy Consumption Building in China: An Overview of Building-Integrated Photovoltaic Case and Initiative toward Sustainable Future Development,2023,framework,nao,nao,nao,
REG_07061,Development of a Campus Facility Management Operational Framework Using a Modified Delphi Method,2023,scoring,nao,nao,nao,
REG_07061,Development of a Campus Facility Management Operational Framework Using a Modified Delphi Method,2023,Delphi,nao,nao,nao,
REG_07061,Development of a Campus Facility Management Operational Framework Using a Modified Delphi Method,2023,framework,nao,nao,nao,
REG_07171,Global trends of the research on COVID-19 risks effect in sustainable facility management fields: a bibliometric analysis,2023,decision support,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_07192,Digital Twin framework for automated fault source detection and prediction for comfort performance evaluation of existing non-residential Norwegian buildings,2023,optimization,nao,nao,nao,
REG_07192,Digital Twin framework for automated fault source detection and prediction for comfort performance evaluation of existing non-residential Norwegian buildings,2023,decision support,nao,nao,nao,
REG_07192,Digital Twin framework for automated fault source detection and prediction for comfort performance evaluation of existing non-residential Norwegian buildings,2023,framework,nao,nao,nao,
REG_07192,Digital Twin framework for automated fault source detection and prediction for comfort performance evaluation of existing non-residential Norwegian buildings,2023,BIM,nao,nao,nao,
REG_07192,Digital Twin framework for automated fault source detection and prediction for comfort performance evaluation of existing non-residential Norwegian buildings,2023,digital twin,nao,nao,nao,
REG_07225,An Embedded Joint Management Body (JMB) in a Comprehensive Life Cycle Cost Analysis Planning Mode in Sustainable Building Project,2023,scoring,nao,nao,nao,
REG_07225,An Embedded Joint Management Body (JMB) in a Comprehensive Life Cycle Cost Analysis Planning Mode in Sustainable Building Project,2023,life-cycle cost,nao,nao,nao,
REG_07225,An Embedded Joint Management Body (JMB) in a Comprehensive Life Cycle Cost Analysis Planning Mode in Sustainable Building Project,2023,framework,nao,nao,nao,
REG_07228,Framework to evaluate quality performance of green building delivery: construction and operational stage,2023,framework,nao,nao,nao,
REG_07235,EXPERT VERIFICATION OF INFORMATION REQUIREMENTS FOR INTEGRATING BUILDING INFORMATION MODELLING WITH OPERATION AND MAINTENANCE,2023,life-cycle cost,nao,nao,nao,
REG_07235,EXPERT VERIFICATION OF INFORMATION REQUIREMENTS FOR INTEGRATING BUILDING INFORMATION MODELLING WITH OPERATION AND MAINTENANCE,2023,framework,nao,nao,nao,
