id_unico,titulo,ano,metodo_identificado_leitura,usa_ahp_extracao_automatica,usa_topsis_extracao_automatica,usa_outro_mcdm_extracao_automatica,metodo_mcdm_especifico_extracao_automatica
REG_04759,Factors influencing IoT adoption for sustainable facilities management in Saudi Arabia: a stakeholder assessment,2026,ranking,nao,nao,nao,
REG_04759,Factors influencing IoT adoption for sustainable facilities management in Saudi Arabia: a stakeholder assessment,2026,framework,nao,nao,nao,
REG_04759,Factors influencing IoT adoption for sustainable facilities management in Saudi Arabia: a stakeholder assessment,2026,IoT,nao,nao,nao,
REG_04813,"Improving the performance of green office buildings in mainland China through facility management under the ""dual carbon"" goals",2026,TOPSIS,nao,sim,nao,TOPSIS
REG_04813,"Improving the performance of green office buildings in mainland China through facility management under the ""dual carbon"" goals",2026,optimization,nao,sim,nao,TOPSIS
REG_04813,"Improving the performance of green office buildings in mainland China through facility management under the ""dual carbon"" goals",2026,framework,nao,sim,nao,TOPSIS
REG_04813,"Improving the performance of green office buildings in mainland China through facility management under the ""dual carbon"" goals",2026,digital twin,nao,sim,nao,TOPSIS
REG_04813,"Improving the performance of green office buildings in mainland China through facility management under the ""dual carbon"" goals",2026,machine learning,nao,sim,nao,TOPSIS
REG_04824,Framework for Environmental Life Cycle Assessment of Operation Strategies for Existing Building Envelopes,2026,optimization,nao,nao,nao,
REG_04824,Framework for Environmental Life Cycle Assessment of Operation Strategies for Existing Building Envelopes,2026,framework,nao,nao,nao,
REG_04939,Unraveling the impact of machine learning on the AEC sector: academia and industry perspectives,2026,ranking,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_04939,Unraveling the impact of machine learning on the AEC sector: academia and industry perspectives,2026,framework,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_04939,Unraveling the impact of machine learning on the AEC sector: academia and industry perspectives,2026,BIM,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_04939,Unraveling the impact of machine learning on the AEC sector: academia and industry perspectives,2026,machine learning,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_04953,Spatial Intelligence for Efficient High-Rise Building Maintenance and Repair,2026,scoring,nao,nao,nao,
REG_04953,Spatial Intelligence for Efficient High-Rise Building Maintenance and Repair,2026,framework,nao,nao,nao,
